"kill_death_ratio","kill_death_ratio_rival","map_name","win_stats","win_stats_rival","world_rank_position","world_rank_position_rival","winner"
1.05,1.06,dust2,37.5,0,7,3,0
1.06,1.05,overpass,66.7,80,3,7,1
1.05,1.06,overpass,80,66.7,7,3,0
1.05,1.06,nuke,25,100,7,3,1
1.06,1.05,nuke,100,25,3,7,0
1.1,1.04,nuke,50,50,24,23,1
1.04,1.1,nuke,50,50,23,24,0
1.04,1.1,overpass,57.1,80,23,24,1
1.1,1.04,overpass,80,57.1,24,23,0
1.04,1.1,inferno,28.6,33.3,23,24,1
1.1,1.04,inferno,33.3,28.6,24,23,0
0.96,1.05,mirage,33.3,0,5,11,1
1.05,0.96,mirage,0,33.3,11,5,0
0.96,1.05,dust2,40,50,5,11,1
1.05,0.96,dust2,50,40,11,5,0
1.05,0.96,inferno,50,75,11,5,1
0.96,1.05,inferno,75,50,5,11,0
0.92,1.1,dust2,50,50,26,20,1
1.1,0.92,dust2,50,50,20,26,0
1.1,0.92,overpass,80,42.9,20,26,1
0.92,1.1,overpass,42.9,80,26,20,0
1.1,0.92,dust2,50,50,20,26,1
0.92,1.1,dust2,50,50,26,20,0
1.1,0.92,overpass,80,42.9,20,26,1
0.92,1.1,overpass,42.9,80,26,20,0
1.06,1.15,overpass,66.7,0,3,2,1
1.15,1.06,overpass,0,66.7,2,3,0
1.06,1.15,nuke,100,100,3,2,1
1.15,1.06,nuke,100,100,2,3,0
1.08,0.96,nuke,20,57.1,12,5,1
0.96,1.08,nuke,57.1,20,5,12,0
0.96,1.08,overpass,0,100,5,12,1
1.08,0.96,overpass,100,0,12,5,0
0.96,1.08,dust2,40,75,5,12,1
1.08,0.96,dust2,75,40,12,5,0
1.04,1.1,mirage,33.3,0,23,20,1
1.1,1.04,mirage,0,33.3,20,23,0
1.1,1.04,overpass,80,57.1,20,23,1
1.04,1.1,overpass,57.1,80,23,20,0
1.1,1.04,vertigo,50,0,20,23,1
1.04,1.1,vertigo,0,50,23,20,0
1.07,1.1,inferno,42.9,40,17,20,1
1.1,1.07,inferno,40,42.9,20,17,0
1.07,1.1,overpass,71.4,80,17,20,1
1.1,1.07,overpass,80,71.4,20,17,0
0.96,1.06,dust2,40,0,5,3,1
1.06,0.96,dust2,0,40,3,5,0
1.06,0.96,inferno,63.6,75,3,5,1
0.96,1.06,inferno,75,63.6,5,3,0
1.06,0.96,mirage,75,33.3,3,5,1
0.96,1.06,mirage,33.3,75,5,3,0
1.04,0.92,dust2,75,50,23,26,1
0.92,1.04,dust2,50,75,26,23,0
1.04,0.92,nuke,50,42.9,23,26,1
0.92,1.04,nuke,42.9,50,26,23,0
0.92,1.04,train,66.7,100,26,23,1
1.04,0.92,train,100,66.7,23,26,0
1.05,0.97,inferno,50,10,6,30,1
0.97,1.05,inferno,10,50,30,6,0
1.05,1.1,train,66.7,33.3,11,24,1
1.1,1.05,train,33.3,66.7,24,11,0
1.05,1.1,inferno,50,33.3,11,24,1
1.1,1.05,inferno,33.3,50,24,11,0
1.1,1.05,dust2,100,50,24,11,1
1.05,1.1,dust2,50,100,11,24,0
1.1,0.93,inferno,62.5,0,15,28,1
0.93,1.1,inferno,0,62.5,28,15,0
1.1,0.93,mirage,60,50,15,28,1
0.93,1.1,mirage,50,60,28,15,0
0.96,0.92,nuke,55.6,60,25,22,1
0.92,0.96,nuke,60,55.6,22,25,0
1.1,1.13,nuke,50,75,24,9,0
1.13,1.1,nuke,75,50,9,24,1
1.13,1.1,inferno,71.4,33.3,9,24,1
1.1,1.13,inferno,33.3,71.4,24,9,0
1.1,1.13,mirage,80,66.7,24,9,1
1.13,1.1,mirage,66.7,80,9,24,0
0.93,1.09,nuke,0,66.7,28,10,0
1.09,0.93,nuke,66.7,0,10,28,1
0.93,1.09,mirage,50,63.6,28,10,1
1.09,0.93,mirage,63.6,50,10,28,0
0.93,1.09,vertigo,100,66.7,28,10,1
1.09,0.93,vertigo,66.7,100,10,28,0
1.05,1.13,train,66.7,25,11,9,1
1.13,1.05,train,25,66.7,9,11,0
1.05,1.13,overpass,50,0,11,9,1
1.13,1.05,overpass,0,50,9,11,0
1.09,1.1,overpass,66.7,50,10,15,1
1.1,1.09,overpass,50,66.7,15,10,0
1.09,1.1,mirage,63.6,60,10,15,1
1.1,1.09,mirage,60,63.6,15,10,0
1.1,1.09,train,100,0,15,10,1
1.09,1.1,train,0,100,10,15,0
0.96,1.04,nuke,57.1,50,5,23,1
1.04,0.96,nuke,50,57.1,23,5,0
0.96,1.04,inferno,75,28.6,5,23,1
1.04,0.96,inferno,28.6,75,23,5,0
1.04,0.96,dust2,75,40,23,5,1
0.96,1.04,dust2,40,75,5,23,0
1.07,1.05,vertigo,100,0,17,7,1
1.05,1.07,vertigo,0,100,7,17,0
1.07,1.05,nuke,62.5,25,17,7,1
1.05,1.07,nuke,25,62.5,7,17,0
1.05,1.04,mirage,75,33.3,7,23,1
1.04,1.05,mirage,33.3,75,23,7,0
1.05,1.04,inferno,71.4,28.6,7,23,1
1.04,1.05,inferno,28.6,71.4,23,7,0
1.04,1.05,nuke,50,25,23,7,1
1.05,1.04,nuke,25,50,7,23,0
0.96,1.07,nuke,57.1,62.5,5,17,1
1.07,0.96,nuke,62.5,57.1,17,5,0
0.96,1.07,dust2,40,0,5,17,1
1.07,0.96,dust2,0,40,17,5,0
1.07,0.96,train,66.7,0,17,5,1
0.96,1.07,train,0,66.7,5,17,0
0.92,0.96,train,42.9,40,22,25,1
0.96,0.92,train,40,42.9,25,22,0
0.96,0.92,vertigo,100,0,25,22,1
0.92,0.96,vertigo,0,100,22,25,0
0.96,0.92,nuke,55.6,60,25,22,1
0.92,0.96,nuke,60,55.6,22,25,0
